card,level,trophies,win,draw,lose
Baby Dragon,12,4400,2,0,11
Baby Dragon,13,4400,7,0,9
Baby Dragon,6,4500,2,0,5
Baby Dragon,7,4500,13,0,53
Baby Dragon,8,4500,118,0,299
Baby Dragon,9,4500,220,0,549
Baby Dragon,10,4500,243,0,448
Baby Dragon,11,4500,91,0,124
Baby Dragon,12,4500,31,0,22
Baby Dragon,13,4500,15,0,16
Baby Dragon,6,4600,0,0,1
Baby Dragon,7,4600,9,0,27
Baby Dragon,8,4600,110,0,217
Baby Dragon,9,4600,286,0,541
Baby Dragon,10,4600,382,0,619
Baby Dragon,11,4600,161,0,217
Baby Dragon,12,4600,94,0,85
Baby Dragon,13,4600,30,0,26
Baby Dragon,6,4700,0,0,1
Baby Dragon,7,4700,6,0,12
Baby Dragon,8,4700,53,0,110
Baby Dragon,9,4700,246,0,439
Baby Dragon,10,4700,470,0,715
Baby Dragon,11,4700,232,0,263
Baby Dragon,12,4700,145,0,131
Baby Dragon,13,4700,83,0,88
Baby Dragon,6,4800,0,0,1
Baby Dragon,7,4800,2,0,5
Baby Dragon,8,4800,27,0,58
Baby Dragon,9,4800,164,0,310
Baby Dragon,10,4800,519,0,856
Baby Dragon,11,4800,342,0,456
Baby Dragon,12,4800,143,0,141
Baby Dragon,13,4800,160,0,130
Baby Dragon,7,4900,1,0,0
Baby Dragon,8,4900,8,0,24
Baby Dragon,9,4900,90,0,168
Baby Dragon,10,4900,456,0,722
Baby Dragon,11,4900,502,0,641
Baby Dragon,12,4900,246,0,212
Baby Dragon,13,4900,186,0,136
Baby Dragon,8,5000,0,0,3
Baby Dragon,9,5000,26,0,55
Baby Dragon,10,5000,312,0,486
Baby Dragon,11,5000,668,0,748
Baby Dragon,12,5000,393,0,329
Baby Dragon,13,5000,258,0,178
Baby Dragon,9,5100,5,0,16
Baby Dragon,10,5100,106,0,168
Baby Dragon,11,5100,476,0,624
Baby Dragon,12,5100,511,0,522
Baby Dragon,13,5100,348,0,241
Baby Dragon,9,5200,0,0,2
Baby Dragon,10,5200,34,0,73
Baby Dragon,11,5200,239,0,372
Baby Dragon,12,5200,478,0,551
Baby Dragon,13,5200,444,0,374
Baby Dragon,9,5300,0,0,1
Baby Dragon,10,5300,7,0,20
Baby Dragon,11,5300,117,0,145
Baby Dragon,12,5300,370,0,439
Baby Dragon,13,5300,606,0,514
Baby Dragon,10,5400,3,0,4
Baby Dragon,11,5400,36,0,50
Baby Dragon,12,5400,192,0,289
Baby Dragon,13,5400,688,0,557
Baby Dragon,10,5500,1,0,0
Baby Dragon,11,5500,11,0,29
Baby Dragon,12,5500,128,0,151
Baby Dragon,13,5500,543,0,552
Baby Dragon,10,5600,0,0,1
Baby Dragon,11,5600,3,0,6
Baby Dragon,12,5600,61,0,70
Baby Dragon,13,5600,440,0,478
Baby Dragon,11,5700,0,0,4
Baby Dragon,12,5700,27,0,33
Baby Dragon,13,5700,324,0,334
Baby Dragon,11,5800,1,0,1
Baby Dragon,12,5800,8,0,17
Baby Dragon,13,5800,294,0,239
Baby Dragon,12,5900,6,0,11
Baby Dragon,13,5900,190,0,186
Baby Dragon,12,6000,2,0,7
Baby Dragon,13,6000,148,0,122
Baby Dragon,12,6100,1,0,2
Baby Dragon,13,6100,81,0,82
Baby Dragon,12,6200,0,0,2
Baby Dragon,13,6200,57,0,50
Baby Dragon,13,6300,46,0,43
Baby Dragon,13,6400,20,0,25
Baby Dragon,13,6500,11,0,14
Baby Dragon,13,6600,12,0,7
Baby Dragon,13,6700,8,0,5
Baby Dragon,13,6800,5,0,3
Baby Dragon,13,6900,2,0,4
Baby Dragon,13,7000,3,0,3
Baby Dragon,13,7400,1,0,1
Baby Dragon,13,7500,2,0,0
Baby Dragon,13,7700,0,0,1
Balloon,8,1200,0,0,1
Balloon,6,1400,0,0,1
Balloon,7,1600,1,0,0
Balloon,8,1600,0,0,1
Balloon,6,1700,0,0,1
Balloon,7,1700,1,0,2
Balloon,6,1800,4,0,4
Balloon,7,1800,0,0,3
Balloon,8,1800,1,0,0
Balloon,6,1900,3,0,3
Balloon,7,1900,2,0,3
Balloon,8,1900,0,0,4
Balloon,6,2000,1,0,0
Balloon,7,2000,2,0,1
Balloon,6,2100,0,0,4
Balloon,7,2100,1,0,3
Balloon,6,2200,1,0,3
Balloon,7,2200,2,0,3
Balloon,8,2200,0,0,3
Balloon,6,2300,0,0,1
Balloon,7,2300,2,0,1
Balloon,8,2300,1,0,0
Balloon,9,2300,1,0,0
Balloon,6,2400,2,0,2
Balloon,7,2400,2,0,2
Balloon,8,2400,2,0,3
Balloon,10,2400,0,0,1
Balloon,6,2500,1,0,2
Balloon,7,2500,1,0,3
Balloon,8,2500,0,0,4
